constructorId,constructorRef,name,nationality,url,color
1,"mclaren","McLaren","British","http://en.wikipedia.org/wiki/McLaren","#FF7B09"
2,"bmw_sauber","BMW Sauber","German","http://en.wikipedia.org/wiki/BMW_Sauber","#016EFF"
3,"williams","Williams","British","http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering","#FFFFFF"
4,"renault","Renault","French","http://en.wikipedia.org/wiki/Renault_in_Formula_One","#FFB802"
5,"toro_rosso","Toro Rosso","Italian","http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso","#FFBF00"
6,"ferrari","Ferrari","Italian","http://en.wikipedia.org/wiki/Scuderia_Ferrari","#C30301"
7,"toyota","Toyota","Japanese","http://en.wikipedia.org/wiki/Toyota_Racing","#CA223C"
8,"super_aguri","Super Aguri","Japanese","http://en.wikipedia.org/wiki/Super_Aguri_F1","#FBCEB1"
9,"red_bull","Red Bull","Austrian","http://en.wikipedia.org/wiki/Red_Bull_Racing","#05007D"
10,"force_india","Force India","Indian","http://en.wikipedia.org/wiki/Racing_Point_Force_India","#FF80C7"
11,"honda","Honda","Japanese","http://en.wikipedia.org/wiki/Honda_Racing_F1","#3B444B"
12,"spyker","Spyker","Dutch","http://en.wikipedia.org/wiki/Spyker_F1","#E9D66B"
13,"mf1","MF1","Russian","http://en.wikipedia.org/wiki/Midland_F1_Racing","#B2BEB5"
14,"spyker_mf1","Spyker MF1","Dutch","http://en.wikipedia.org/wiki/Midland_F1_Racing","#87A96B"
15,"sauber","Sauber","Swiss","http://en.wikipedia.org/wiki/Sauber","#FF9966"
16,"bar","BAR","British","http://en.wikipedia.org/wiki/British_American_Racing","#59A14F"
17,"jordan","Jordan","Irish","http://en.wikipedia.org/wiki/Jordan_Grand_Prix","#007FFF"
18,"minardi","Minardi","Italian","http://en.wikipedia.org/wiki/Minardi","#89CFF0"
19,"jaguar","Jaguar","British","http://en.wikipedia.org/wiki/Jaguar_Racing","#A1CAF1"
20,"prost","Prost","French","http://en.wikipedia.org/wiki/Prost_Grand_Prix","#F4C2C2"
21,"arrows","Arrows","British","http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International","#FFD12A"
22,"benetton","Benetton","Italian","http://en.wikipedia.org/wiki/Benetton_Formula","#315D8A"
23,"brawn","Brawn","British","http://en.wikipedia.org/wiki/Brawn_GP","#98777B"
24,"stewart","Stewart","British","http://en.wikipedia.org/wiki/Stewart_Grand_Prix","#F5F5DC"
25,"tyrrell","Tyrrell","British","http://en.wikipedia.org/wiki/Tyrrell_Racing","#315D8A"
26,"lola","Lola","British","http://en.wikipedia.org/wiki/MasterCard_Lola","#000000"
27,"ligier","Ligier","French","http://en.wikipedia.org/wiki/Ligier","#FFB802"
28,"forti","Forti","Italian","http://en.wikipedia.org/wiki/Forti","#FAF0BE"
29,"footwork","Footwork","British","http://en.wikipedia.org/wiki/Footwork_Arrows","#0000FF"
30,"pacific","Pacific","British","http://en.wikipedia.org/wiki/Pacific_Racing","#DE5D83"
31,"simtek","Simtek","British","http://en.wikipedia.org/wiki/Simtek","#79443B"
32,"team_lotus","Team Lotus","British","http://en.wikipedia.org/wiki/Team_Lotus","#29773F"
33,"larrousse","Larrousse","French","http://en.wikipedia.org/wiki/Larrousse","#B5A642"
34,"brabham","Brabham","British","http://en.wikipedia.org/wiki/Brabham","#FFFFFF"
35,"dallara","Dallara","Italian","http://en.wikipedia.org/wiki/Dallara","#BF94E4"
36,"fondmetal","Fondmetal","Italian","http://en.wikipedia.org/wiki/Fondmetal","#C32148"
37,"march","March","British","http://en.wikipedia.org/wiki/March_Engineering","#FF007F"
38,"moda","Andrea Moda","Italian","http://en.wikipedia.org/wiki/Andrea_Moda_Formula","#08E8DE"
39,"ags","AGS","French","http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives","#D19FE8"
40,"lambo","Lambo","Italian","http://en.wikipedia.org/wiki/Modena_(racing_team)","#004225"
41,"leyton","Leyton House","British","http://en.wikipedia.org/wiki/Leyton_House","#CD7F32"
